radius_um,wavelength_nm,theta_deg,intensity
5.0,420.0,27.0,0.0012859238227601268
5.0,420.0,28.0,0.0011843398875731946
5.0,420.0,29.0,0.0005295364148390203
5.0,420.0,30.0,0.0012831222365631216
5.0,420.0,31.0,0.0007676741252839416
5.0,420.0,32.0,0.0005373984747053279
5.0,420.0,33.0,0.001069444498712095
5.0,420.0,34.0,0.0004228621608738562
5.0,420.0,35.0,0.0006183174200314922
5.0,420.0,36.0,0.0007413973061920045
5.0,420.0,37.0,0.0002481234579734275
5.0,420.0,38.0,0.000665693375046297
5.0,420.0,39.0,0.0004389202406183615
5.0,420.0,40.0,0.00026656745195385644
5.0,420.0,41.0,0.0005734074218495892
5.0,420.0,42.0,0.0002123806769098855
5.0,420.0,43.0,0.000371673346824211
5.0,420.0,44.0,0.0003982077491944389
5.0,420.0,45.0,0.0001429534296608011
5.0,420.0,46.0,0.0004081757357391685
5.0,420.0,47.0,0.0002112679270373573
5.0,420.0,48.0,0.00019303974808934174
5.0,420.0,49.0,0.0003135493360624728
5.0,420.0,50.0,0.00010511650328900468
5.0,420.0,51.0,0.00025345931951340335
5.0,420.0,52.0,0.00017466869048538426
5.0,420.0,53.0,0.00010915316218011258
5.0,420.0,54.0,0.00023056584907048827
5.0,420.0,55.0,8.523653426950522e-05
5.0,420.0,56.0,0.00013813363917088915
5.0,420.0,57.0,0.00014408333420187208
5.0,420.0,58.0,6.63224655245828e-05
5.0,420.0,59.0,0.00013266466320297418
5.0,420.0,60.0,7.5687783576303e-05
5.0,420.0,61.0,7.316246892642115e-05
5.0,420.0,62.0,0.00010636252215294146
5.0,420.0,63.0,4.288009564942738e-05
5.0,420.0,64.0,7.726026075675923e-05
5.0,420.0,65.0,7.891392025231968e-05
5.0,420.0,66.0,2.868856432025331e-05
5.0,420.0,67.0,8.095415261212076e-05
5.0,420.0,68.0,4.4296134972759055e-05
5.0,420.0,69.0,3.558792278854922e-05
5.0,420.0,70.0,6.733199839159205e-05
5.0,420.0,71.0,1.7892806455437065e-05
5.0,420.0,72.0,5.3588594833125636e-05
5.0,420.0,73.0,3.349176412384749e-05
5.0,420.0,74.0,2.3862126659737385e-05
5.0,420.0,75.0,5.0007544508725846e-05
5.0,420.0,76.0,1.2769435846772763e-05
5.0,420.0,77.0,3.5619530040097044e-05
5.0,420.0,78.0,2.7310916914154223e-05
5.0,420.0,79.0,1.475372649053301e-05
5.0,420.0,80.0,2.6412912878728512e-05
5.0,420.0,81.0,1.8459269383483335e-05
5.0,420.0,82.0,1.387938157466647e-05
5.0,420.0,83.0,2.019626607995357e-05
5.0,420.0,84.0,1.9254118682383476e-05
5.0,420.0,85.0,8.54407767663522e-06
5.0,420.0,86.0,2.6870120774999826e-05
5.0,420.0,87.0,1.0250545309114487e-05
5.0,420.0,88.0,1.5258455451451788e-05
5.0,420.0,89.0,2.1511158355105627e-05
5.0,420.0,90.0,5.244126782359971e-06
5.0,420.0,91.0,1.969479153601844e-05
5.0,420.0,92.0,7.804809469621793e-06
5.0,420.0,93.0,1.0465758438248607e-05
5.0,420.0,94.0,9.221681487417308e-06
5.0,420.0,95.0,7.949526960090504e-06
5.0,420.0,96.0,8.069298982818944e-06
5.0,420.0,97.0,5.323541887296881e-06
5.0,420.0,98.0,1.1841357215090963e-05
5.0,420.0,99.0,2.609397843541663e-06
5.0,420.0,100.0,1.3732703114985164e-05
5.0,420.0,101.0,7.273892710184499e-06
5.0,420.0,102.0,8.613274936643253e-06
5.0,420.0,103.0,1.3632669350626794e-05
5.0,420.0,104.0,5.620620333978343e-06
5.0,420.0,105.0,1.2592312034677658e-05
5.0,420.0,106.0,6.801883386084356e-06
5.0,420.0,107.0,8.419615412456906e-06
5.0,420.0,108.0,5.6930938422649105e-06
5.0,420.0,109.0,9.08965702524177e-06
5.0,420.0,110.0,7.64725478481859e-06
5.0,420.0,111.0,8.261350661567806e-06
5.0,420.0,112.0,1.7701982815292046e-05
5.0,420.0,113.0,9.204848436184419e-06
5.0,420.0,114.0,2.0149711182152075e-05
5.0,420.0,115.0,1.684524009174269e-05
5.0,420.0,116.0,1.2199301525004314e-05
5.0,420.0,117.0,1.5410844452804544e-05
5.0,420.0,118.0,6.122199746119616e-06
5.0,420.0,119.0,8.997757646592822e-06
5.0,420.0,120.0,4.503229243178198e-06
5.0,420.0,121.0,1.1013058192066853e-05
5.0,420.0,122.0,1.4535335451127117e-05
5.0,420.0,123.0,1.32455035606736e-05
5.0,420.0,124.0,2.6204036831342286e-05
5.0,420.0,125.0,1.8325459943385554e-05
5.0,420.0,126.0,1.2588266872434137e-05
5.0,420.0,127.0,1.724941754924888e-05
5.0,420.0,128.0,5.371732494124435e-06
5.0,420.0,129.0,3.442541389399831e-06
5.0,420.0,130.0,6.127008561990703e-06
5.0,420.0,131.0,8.554646467951558e-06
5.0,420.0,132.0,2.396619184837336e-05
5.0,420.0,133.0,5.960799703432272e-06
5.0,420.0,134.0,1.9839910371024473e-05
5.0,420.0,135.0,3.933267597096523e-05
5.0,420.0,136.0,1.5021898424017298e-05
5.0,420.0,137.0,3.2903817966341856e-05
5.0,420.0,138.0,3.440608465365888e-05
5.0,420.0,139.0,7.25217758582574e-05
5.0,420.0,140.0,8.519496496039978e-05
5.0,420.0,141.0,4.993602109180437e-05
5.0,420.0,142.0,0.00010013703315467873
5.0,420.0,143.0,0.00011725886214294792
5.0,420.0,144.0,0.00012179377909216539
5.0,420.0,145.0,9.183627534764782e-05
5.0,420.0,146.0,6.896979453777682e-05
