alpha_deg,red_650nm,green_550nm,blue_450nm,white_sum
19.05,0.355984,0.47567,0.582956,1.41461
19.1,0.394382,0.491146,0.602223,1.48775
19.15,0.433432,0.505196,0.627507,1.56614
19.2,0.469923,0.516117,0.657879,1.64392
19.25,0.501063,0.518915,0.685895,1.70587
19.3,0.524813,0.506994,0.698262,1.73007
19.35,0.539201,0.475222,0.680084,1.69451
19.4,0.541417,0.422558,0.621776,1.58575
19.45,0.527758,0.352784,0.5249,1.40544
19.5,0.494954,0.273258,0.403519,1.17173
19.55,0.442346,0.192824,0.280702,0.915873
19.6,0.373587,0.120193,0.182352,0.676133
19.65,0.296621,0.0631303,0.130437,0.490188
19.7,0.221588,0.0278551,0.136632,0.386075
19.75,0.157552,0.0179977,0.197724,0.373274
19.8,0.109696,0.0333339,0.295455,0.438485
19.85,0.0783621,0.0693757,0.40284,0.550577
19.9,0.0602738,0.118713,0.495055,0.674042
19.95,0.0510255,0.173768,0.559042,0.783836
20,0.0473496,0.229373,0.596205,0.872927
20.05,0.0480307,0.283496,0.617538,0.949064
20.1,0.0533587,0.335755,0.635562,1.02468
20.15,0.0639597,0.38504,0.658099,1.1071
20.2,0.0800843,0.428216,0.685696,1.194
20.25,0.101853,0.460923,0.711642,1.27442
20.3,0.130033,0.479734,0.723674,1.33344
20.35,0.166367,0.483879,0.707855,1.3581
20.4,0.212738,0.475192,0.654485,1.34241
20.45,0.269331,0.456513,0.56348,1.28932
20.5,0.33289,0.429957,0.445838,1.20869
20.55,0.396363,0.396378,0.320436,1.11318
20.6,0.450527,0.356098,0.208929,1.01555
20.65,0.487027,0.309895,0.131816,0.928738
20.7,0.501278,0.259253,0.105617,0.866149
20.75,0.493723,0.205926,0.138953,0.838602
20.8,0.468833,0.151803,0.227317,0.847952
20.85,0.432558,0.0998637,0.350358,0.88278
20.9,0.389772,0.0556815,0.476179,0.921633
20.95,0.343087,0.0278739,0.572456,0.943417
21,0.293462,0.026113,0.618634,0.93821
21.05,0.241814,0.057039,0.612458,0.911311
21.1,0.190318,0.120241,0.568414,0.878973
21.15,0.142438,0.206879,0.510493,0.85981
21.2,0.101744,0.30201,0.462974,0.866728
21.25,0.0704522,0.389399,0.441626,0.901477
21.3,0.048817,0.456216,0.447386,0.952419
21.35,0.0358262,0.495546,0.465606,0.996979
21.4,0.0306672,0.506438,0.473157,1.01026
21.45,0.0338283,0.492621,0.451116,0.977565
21.5,0.0469353,0.461135,0.395808,0.903879
21.55,0.0713378,0.421065,0.321243,0.813646
21.6,0.106406,0.381724,0.252205,0.740334
21.65,0.148793,0.350017,0.213668,0.712479
21.7,0.193333,0.327889,0.222822,0.744044
21.75,0.235123,0.311592,0.285355,0.83207
21.8,0.271523,0.293801,0.393957,0.959281
21.85,0.302774,0.26776,0.528037,1.09857
21.9,0.330826,0.231096,0.656801,1.21872
21.95,0.357121,0.187082,0.747503,1.29171
22,0.380785,0.142925,0.776416,1.30013
22.05,0.398408,0.106686,0.736768,1.24186
22.1,0.405555,0.0850218,0.639861,1.13044
22.15,0.399043,0.0827469,0.510507,0.992297
22.2,0.378548,0.10332,0.380217,0.862084
22.25,0.34661,0.148622,0.279643,0.774875
22.3,0.307155,0.217346,0.229894,0.754394
22.35,0.263625,0.303074,0.234472,0.801172
22.4,0.217964,0.394012,0.277181,0.889156
22.45,0.171016,0.475394,0.330195,0.976605
22.5,0.123891,0.533653,0.369256,1.0268
22.55,0.0791783,0.560097,0.386259,1.02553
22.6,0.0410594,0.552321,0.39095,0.984331
22.65,0.0141905,0.513338,0.40215,0.929679
22.7,0.0021219,0.449841,0.43625,0.888213
22.75,0.00631587,0.370996,0.499965,0.877277
22.8,0.0263484,0.287801,0.588288,0.902437
22.85,0.0609625,0.211927,0.685034,0.957923
22.9,0.108983,0.153256,0.765383,1.02762
22.95,0.169197,0.116883,0.802372,1.08845
23,0.239115,0.101561,0.777085,1.11776
23.05,0.313511,0.101182,0.687343,1.10204
23.1,0.384011,0.108778,0.548971,1.04176
23.15,0.440555,0.120572,0.389504,0.950631
23.2,0.474376,0.137363,0.240058,0.851797
23.25,0.481128,0.162513,0.130206,0.773846
23.3,0.462518,0.198288,0.0844169,0.745223
23.35,0.425547,0.243408,0.115685,0.784641
23.4,0.379728,0.293387,0.217023,0.890139
23.45,0.33369,0.342903,0.358376,1.03497
23.5,0.292782,0.387932,0.495658,1.17637
23.55,0.25854,0.426006,0.589042,1.27359
